run_number,fill_number,hlt_key,l1_hlt_mode,era,b_field,energy
362760,8496,/cdaq/physics/Run2022/2e34/v1.5.0/HLT/V13,collisions2022,Run2022G,3.8,6799.0
362759,8496,/cdaq/physics/Run2022/2e34/v1.5.0/HLT/V13,collisions2022,Run2022G,3.8,6799.0
362758,8496,/cdaq/physics/Run2022/2e34/v1.5.0/HLT/V13,collisions2022,Run2022G,3.8,6799.0
362757,8496,/cdaq/physics/Run2022/2e34/v1.5.0/HLT/V13,collisions2022,Run2022G,3.8,6799.0
362756,8496,/cdaq/circulating/2022/v4.5/HLT/V2,circulating2022,Run2022G,3.8,1629.0
362755,8496,/cdaq/circulating/2022/v4.5/HLT/V2,circulating2022,Run2022G,3.8,450.0
362754,8495,/cdaq/cosmic/commissioning2022/CRAFT/v4.3/HLT/V2,cosmics2022,Run2022G,3.8,6799.0
362753,8495,/cdaq/circulating/2022/v4.5/HLT/V2,circulating2022,Run2022G,3.8,4259.0
362752,8495,/cdaq/circulating/2022/v4.5/HLT/V2,circulating2022,Run2022G,3.8,503.0
362751,8495,/cdaq/circulating/2022/v4.5/HLT/V2,circulating2022,Run2022G,3.8,450.0
362749,8495,/cdaq/circulating/2022/v4.5/HLT/V2,circulating2022,Run2022G,3.8,450.0
362748,8494,/cdaq/cosmic/commissioning2022/CRAFT/v4.3/HLT/V2,cosmics2022,Run2022G,3.8,2764.0
362747,8494,/cdaq/circulating/2022/v4.5/HLT/V2,circulating2022,Run2022G,3.8,4097.0
362746,8493,/cdaq/circulating/2022/v4.5/HLT/V2,circulating2022,Run2022G,3.8,450.0
362744,8493,/cdaq/cosmic/commissioning2022/CRAFT/v4.3/HLT/V2,cosmics2022,Run2022G,3.8,59.0
362743,8491,/cdaq/cosmic/commissioning2022/CRAFT/v4.3/HLT/V2,cosmics2022,Run2022G,3.8,59.0
362742,8491,/cdaq/cosmic/commissioning2022/CRAFT/v4.3/HLT/V2,cosmics2022,Run2022G,3.8,59.0
362741,8491,/cdaq/cosmic/commissioning2022/CRAFT/v4.3/HLT/V2,cosmics2022,Run2022G,3.8,59.0
362734,8491,/cdaq/cosmic/commissioning2022/CRAFT/v4.3/HLT/V2,cosmics2022,Run2022G,3.8,381.0
362731,8491,/cdaq/cosmic/commissioning2022/CRAFT/v4.3/HLT/V2,cosmics2022,Run2022G,3.8,4203.0
362728,8491,/cdaq/physics/Run2022/2e34/v1.5.0/HLT/V13,collisions2022,Run2022G,3.8,6799.0
