run_number,fill_number,hlt_key,l1_hlt_mode,era,b_field,energy
398903,11245,/cdaq/physics/Run2025/2e34/v1.3.5/HLT/V5,collisions2025,Run2025G,3.8,6799.0
398902,11245,/cdaq/physics/Run2025/2e34/v1.3.5/HLT/V5,collisions2025,Run2025G,3.8,6799.0
398901,11245,/cdaq/physics/Run2025/2e34/v1.3.5/HLT/V5,collisions2025,Run2025G,3.8,450.0
398894,11243,/cdaq/physics/Run2025/2e34/v1.3.5/HLT/V5,collisions2025,Run2025G,3.8,450.0
398893,11243,/cdaq/physics/Run2025/2e34/v1.3.5/HLT/V5,collisions2025,Run2025G,3.8,450.0
398888,11243,/cdaq/physics/Run2025/2e34/v1.3.5/HLT/V5,collisions2025,Run2025G,3.8,450.0
398887,11243,/cdaq/physics/Run2025/2e34/v1.3.5/HLT/V5,collisions2025,Run2025G,3.8,450.0
398884,11243,/cdaq/cosmic/commissioning2025/v1.3.2/HLT/V1,cosmics2025,Run2025G,3.8,59.0
398882,11243,/cdaq/cosmic/commissioning2025/v1.3.2/HLT/V1,cosmics2025,Run2025G,3.8,59.0
398879,11243,,cosmics2025,Run2025G,3.8,59.0
398874,11243,/cdaq/cosmic/commissioning2025/v1.3.2/HLT/V1,cosmics2025,Run2025G,3.8,747.0
398867,11239,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,6799.0
398866,11239,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,6799.0
398865,11239,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,6799.0
398864,11239,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,6799.0
398863,11239,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,6799.0
398861,11239,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,6799.0
398860,11239,/cdaq/physics/Run2025/2e34/v1.3.5/HLT/V3,collisions2025,Run2025G,3.8,6799.0
398859,11239,/cdaq/physics/Run2025/2e34/v1.3.5/HLT/V3,collisions2025,Run2025G,3.8,6799.0
398858,11239,/cdaq/physics/Run2025/2e34/v1.3.5/HLT/V3,collisions2025,Run2025G,3.8,6799.0
398857,11239,/cdaq/circulating/2025/v1.3.2/HLT/V1,circulating2025,Run2025G,3.8,4888.0
398856,11239,/cdaq/circulating/2025/v1.3.2/HLT/V1,circulating2025,Run2025G,3.8,879.0
398855,11239,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,450.0
398854,11239,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,450.0
398852,11239,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,450.0
398851,11239,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,450.0
398847,11239,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,343.0
398844,11239,,special,Run2025G,3.8,59.0
398842,11239,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,59.0
398840,11239,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,59.0
398837,11239,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,59.0
398833,11239,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,270.0
398832,11238,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,2118.0
398829,11238,/cdaq/cosmic/commissioning2025/v1.3.2/HLT/V1,cosmics2025,Run2025G,3.8,4032.0
398828,11238,/cdaq/physics/Run2025/2e34/v1.3.5/HLT/V3,collisions2025,Run2025G,3.8,6799.0
398827,11238,/cdaq/physics/Run2025/2e34/v1.3.5/HLT/V3,collisions2025,Run2025G,3.8,6799.0
398826,11238,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,6070.0
398824,11238,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,3231.0
398823,11238,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,1780.0
398822,11238,/cdaq/special/2025/TrackerVR/v1.3.0/HLT/V1,special,Run2025G,3.8,450.0
398803,11237,/cdaq/physics/Run2025/2e34/v1.3.5/HLT/V3,collisions2025,Run2025G,3.8,6799.0
398802,11237,/cdaq/physics/Run2025/2e34/v1.3.5/HLT/V3,collisions2025,Run2025G,3.8,6799.0
398801,11237,/cdaq/physics/Run2025/2e34/v1.3.5/HLT/V3,collisions2025,Run2025G,3.8,6799.0
398800,11237,/cdaq/circulating/2025/v1.3.2/HLT/V1,circulating2025,Run2025G,3.8,450.0
398798,11236,/cdaq/cosmic/commissioning2025/v1.3.2/HLT/V1,cosmics2025,Run2025G,3.8,6664.0
398797,11236,/cdaq/physics/Run2025/2e34/v1.3.5/HLT/V3,collisions2025,Run2025G,3.8,6799.0
398796,11236,/cdaq/circulating/2025/v1.3.2/HLT/V1,circulating2025,Run2025G,3.8,450.0
398788,11235,/cdaq/cosmic/commissioning2025/v1.3.2/HLT/V1,cosmics2025,Run2025G,3.8,6785.0
398787,11235,/cdaq/physics/Run2025/2e34/v1.3.5/HLT/V3,collisions2025,Run2025G,3.8,6799.0
398785,11235,/cdaq/circulating/2025/v1.3.2/HLT/V1,circulating2025,Run2025G,3.8,450.0
398784,11233,/cdaq/cosmic/commissioning2025/v1.3.2/HLT/V1,cosmics2025,Run2025G,3.8,0.0
398778,11233,/cdaq/cosmic/commissioning2025/v1.3.2/HLT/V1,cosmics2025,Run2025G,3.8,0.0
398777,11233,/cdaq/cosmic/commissioning2025/v1.3.2/HLT/V1,cosmics2025,Run2025G,3.8,0.0
398775,11233,/cdaq/cosmic/commissioning2025/v1.3.2/HLT/V1,cosmics2025,Run2025G,3.8,0.0
398773,11233,/cdaq/cosmic/commissioning2025/v1.3.2/HLT/V1,cosmics2025,Run2025G,3.8,0.0
398767,11233,/cdaq/cosmic/commissioning2025/v1.3.2/HLT/V1,cosmics2025,Run2025G,3.8,0.0
398766,11233,/cdaq/cosmic/commissioning2025/v1.3.2/HLT/V1,cosmics2025,Run2025G,3.8,0.0
398763,11233,/cdaq/cosmic/commissioning2025/v1.3.2/HLT/V1,cosmics2025,Run2025G,3.8,0.0
398762,11233,/cdaq/cosmic/commissioning2025/v1.3.2/HLT/V1,cosmics2025,Run2025G,3.8,0.0
398761,11233,/cdaq/cosmic/commissioning2025/v1.3.2/HLT/V1,cosmics2025,Run2025G,3.8,0.0
