run_number,fill_number,hlt_key,l1_hlt_mode,era,b_field,energy
403975,11745,/cdaq/cosmic/commissioning2026/v1.3.0/HLT/V1,cosmics2026,Run2026D,3.8,0.0
403974,11745,/cdaq/cosmic/commissioning2026/v1.3.0/HLT/V1,cosmics2026,Run2026D,3.8,0.0
403973,11745,/cdaq/cosmic/commissioning2026/v1.3.0/HLT/V1,cosmics2026,Run2026D,3.8,0.0
403972,11745,/cdaq/cosmic/commissioning2026/v1.3.0/HLT/V1,cosmics2026,Run2026D,3.8,0.0
403971,11745,/cdaq/cosmic/commissioning2026/v1.3.0/HLT/V1,cosmics2026,Run2026D,3.8,0.0
403970,11745,/cdaq/cosmic/commissioning2026/v1.3.0/HLT/V1,cosmics2026,Run2026D,3.8,0.0
403967,11745,/cdaq/cosmic/commissioning2026/v1.3.0/HLT/V1,cosmics2026,Run2026D,3.8,0.0
403965,11745,/cdaq/physics/Run2026/2e34/v1.3.0/HLT/V6,collisions2026,Run2026D,3.8,0.0
403953,11745,/cdaq/cosmic/commissioning2026/v1.3.0/HLT/V1,cosmics2026,Run2026D,3.8,0.0
403951,11745,/cdaq/cosmic/commissioning2026/v1.3.0/HLT/V1,cosmics2026,Run2026D,3.8,0.0
403950,11745,/cdaq/cosmic/commissioning2026/v1.3.0/HLT/V1,cosmics2026,Run2026D,3.8,59.0
403948,11745,/cdaq/cosmic/commissioning2026/v1.3.0/HLT/V1,cosmics2026,Run2026D,3.8,59.0
403945,11745,/cdaq/cosmic/commissioning2026/v1.3.0/HLT/V1,cosmics2026,Run2026D,3.8,59.0
403943,11745,/cdaq/cosmic/commissioning2026/v1.3.0/HLT/V1,cosmics2026,Run2026D,3.8,59.0
403941,11745,/cdaq/cosmic/commissioning2026/v1.3.0/HLT/V1,cosmics2026,Run2026D,3.8,59.0
403939,11745,/cdaq/cosmic/commissioning2026/v1.3.0/HLT/V1,cosmics2026,Run2026D,3.8,59.0
403938,11745,/cdaq/cosmic/commissioning2026/v1.3.0/HLT/V1,cosmics2026,Run2026D,3.8,6799.0
403937,11745,/cdaq/physics/Run2026/2e34/v1.3.0/HLT/V6,collisions2026,Run2026D,3.8,6799.0
