run_number,fill_number,hlt_key,l1_hlt_mode,era,b_field,energy
387121,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387120,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387118,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387111,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387110,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387107,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387106,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387103,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387102,10274,/cdaq/physics/Run2024/2e34/v1.4.11/HLT/V3,collisions2024,Run2024I,0.02,0.0
387100,10274,/cdaq/circulating/2024/v1.5.3/HLT/V1,circulating2024,Run2024I,0.02,0.0
387099,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387097,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387096,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387095,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387091,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387090,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387085,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387084,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387082,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387081,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387080,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387078,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387061,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387060,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387059,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387058,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387053,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387045,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387044,10274,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,0.0
387023,10241,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,59.0
387022,10241,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,0.02,59.0
386977,10234,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,3.8,0.0
386976,10234,/cdaq/circulating/2024/v1.5.3/HLT/V1,circulating2024,Run2024I,3.8,450.0
386975,10234,/cdaq/cosmic/commissioning2024/v1.5.3/HLT/V1,cosmics2024,Run2024I,3.8,4546.0
386974,10233,/cdaq/physics/Run2024/2e34/v1.4.11/HLT/V3,collisions2024,Run2024I,3.8,6799.0
386973,10233,/cdaq/physics/Run2024/2e34/v1.4.11/HLT/V3,collisions2024,Run2024I,3.8,6799.0
386967,10233,/cdaq/circulating/2024/v1.5.3/HLT/V1,circulating2024,Run2024I,3.8,450.0
386966,10233,/cdaq/circulating/2024/v1.5.3/HLT/V1,circulating2024,Run2024I,3.8,450.0
386962,10233,/cdaq/circulating/2024/v1.5.3/HLT/V1,circulating2024,Run2024I,3.8,450.0
386960,10233,/cdaq/circulating/2024/v1.5.3/HLT/V1,circulating2024,Run2024I,3.8,450.0
